Country,Gold,Silver,Bronze,TotalMedals
United States,46,29,29,104
China,38,27,23,88
Russia,24,26,32,82
Great Britain,29,17,19,65
Germany,11,19,14,44
Japan,7,14,17,38
Australia,7,16,12,35
France,11,11,12,34
South Korea,13,8,7,28
Italy,8,9,11,28
Netherlands,6,6,8,20
Ukraine,6,5,9,20
Canada,1,5,12,18
Hungary,8,4,5,17
Spain,3,10,4,17
Brazil,3,5,9,17
Cuba,5,3,6,14
Kazakhstan,7,1,5,13
New Zealand,6,2,5,13
Iran,4,5,3,12
Jamaica,4,4,4,12
Belarus,2,5,5,12
Kenya,2,4,5,11
Czech Rep.,4,3,3,10
Azerbaijan,2,2,6,10
Poland,2,2,6,10
Romania,2,5,2,9
Denmark,2,4,3,9
Sweden,1,4,3,8
Colombia,1,3,4,8
Ethiopia,3,1,3,7
Georgia,1,3,3,7
Mexico,1,3,3,7
North Korea,4,0,2,6
South Africa,3,2,1,6
Croatia,3,1,2,6
India,0,2,4,6
Turkey,2,2,1,5
Lithuania,2,1,2,5
Ireland,1,1,3,5
Mongolia,0,2,3,5
Switzerland,2,2,0,4
Norway,2,1,1,4
Argentina,1,1,2,4
Slovenia,1,1,2,4
Serbia Rep.,1,1,2,4
Trinidad/Tobago,1,0,3,4
Uzbekistan,1,0,3,4
Slovakia,0,1,3,4
Tunisia,1,1,1,3
Thailand,0,2,1,3
Armenia,0,1,2,3
Belgium,0,1,2,3
Finland,0,1,2,3
Dominican Rep,1,1,0,2
Latvia,1,0,1,2
Egypt,0,2,0,2
Bulgaria,0,1,1,2
Estonia,0,1,1,2
Indonesia,0,1,1,2
Malaysia,0,1,1,2
Puerto Rico,0,1,1,2
Taiwan,0,1,1,2
Greece,0,0,2,2
Moldova,0,0,2,2
Qatar,0,0,2,2
Singapore,0,0,2,2
Algeria,1,0,0,1
Bahamas,1,0,0,1
Grenada,1,0,0,1
Uganda,1,0,0,1
Venezuela,1,0,0,1
Botswana,0,1,0,1
Cyprus,0,1,0,1
Gabon,0,1,0,1
Guatemala,0,1,0,1
Montenegro,0,1,0,1
Portugal,0,1,0,1
Afghanistan,0,0,1,1
Bahrain,0,0,1,1
Hong Kong,0,0,1,1
Saudi Arabia,0,0,1,1
Kuwait,0,0,1,1
Morocco,0,0,1,1
Tajikistan,0,0,1,1
Albania,0,0,0,0
American Samoa,0,0,0,0
Andorra,0,0,0,0
Angola,0,0,0,0
Antigua Barbuda,0,0,0,0
Aruba,0,0,0,0
Austria,0,0,0,0
Bangladesh,0,0,0,0
Barbados,0,0,0,0
Belize,0,0,0,0
Benin,0,0,0,0
Bermuda,0,0,0,0
Bhutan,0,0,0,0
Bolivia,0,0,0,0
Bosnia Herzegovina,0,0,0,0
British Virgin Islands,0,0,0,0
Brunei,0,0,0,0
Burkina Faso,0,0,0,0
Burundi,0,0,0,0
Cambodia,0,0,0,0
Cameroon,0,0,0,0
Cape Verde,0,0,0,0
Cayman Islands,0,0,0,0
Central African Republic,0,0,0,0
Chad,0,0,0,0
Chile,0,0,0,0
Comoros,0,0,0,0
Congo D. R.,0,0,0,0
Congo,0,0,0,0
Cook Islands,0,0,0,0
Costa Rica,0,0,0,0
Cote d‰ÛªIvoire,0,0,0,0
Djibouti,0,0,0,0
Dominica,0,0,0,0
Ecuador,0,0,0,0
El Salvador,0,0,0,0
Equatorial Guinea,0,0,0,0
Eritrea,0,0,0,0
Fiji,0,0,0,0
Gambia,0,0,0,0
Ghana,0,0,0,0
Guam,0,0,0,0
Guinea,0,0,0,0
Guinea-Bissau,0,0,0,0
Guyana,0,0,0,0
Haiti,0,0,0,0
Honduras,0,0,0,0
Iceland,0,0,0,0
Israel,0,0,0,0
Jordan,0,0,0,0
Kiribati,0,0,0,0
Kyrgyzstan,0,0,0,0
Laos,0,0,0,0
Lebanon,0,0,0,0
Lesotho,0,0,0,0
Liberia,0,0,0,0
Libya,0,0,0,0
Liechtenstein,0,0,0,0
Luxembourg,0,0,0,0
Macedonia,0,0,0,0
Madagascar,0,0,0,0
Malawi,0,0,0,0
Maldives,0,0,0,0
Mali,0,0,0,0
Malta,0,0,0,0
Marshall Islands,0,0,0,0
Mauritania,0,0,0,0
Mauritius,0,0,0,0
Micronesia,0,0,0,0
Monaco,0,0,0,0
Mozambique,0,0,0,0
Myanmar,0,0,0,0
Namibia,0,0,0,0
Nauru,0,0,0,0
Nepal,0,0,0,0
Nicaragua,0,0,0,0
Niger,0,0,0,0
Nigeria,0,0,0,0
Oman,0,0,0,0
Pakistan,0,0,0,0
Palau,0,0,0,0
Palestine,0,0,0,0
Panama,0,0,0,0
Papua New Guinea,0,0,0,0
Paraguay,0,0,0,0
Peru,0,0,0,0
Philippines,0,0,0,0
Rwanda,0,0,0,0
St. Kitts Nevis,0,0,0,0
St. Lucia,0,0,0,0
St.VincentGrenadines,0,0,0,0
Samoa,0,0,0,0
San Marino,0,0,0,0
Sao Tome Principe,0,0,0,0
Senegal,0,0,0,0
Seychelles,0,0,0,0
Sierra Leon,0,0,0,0
Solomon Islands,0,0,0,0
Somalia,0,0,0,0
Sri Lanka,0,0,0,0
Sudan,0,0,0,0
Suriname,0,0,0,0
Swaziland,0,0,0,0
Syria,0,0,0,0
Tanzania,0,0,0,0
Timor-Leste,0,0,0,0
Togo,0,0,0,0
Tonga,0,0,0,0
Turkmenistan,0,0,0,0
Tuvalu,0,0,0,0
United Arab Emirates,0,0,0,0
Uruguay,0,0,0,0
Vanuatu,0,0,0,0
Vietnam,0,0,0,0
Virgin Islands,0,0,0,0
Yemen,0,0,0,0
Zambia,0,0,0,0
Zimbabwe,0,0,0,0
